cleaned-reviews,topic
starter crab adding pepper salt taste 300 fish starter spicy piece hotel sea food sea food lobster suggestion varitie sea food edition varitie here.then tummy 2starters devil chocolate cake heaven 280.this hotel touch buffet music too.cocktail mocktail waiter theme beach place picture 5/5 5/5 5/5,place
one favorite term seafood variety ambience charm prawn butter garlic love bebinka revisit,service
place ambiance place food try music add,place
group 10 lunch buffet place entry option outside heat starter soup table starter starter waiter time starter course spread part dessert time evening seating ambience,place
place seafood style ambience music place food lover experience,place
place place city sense calm seafood hyderabad place complaint lune option weekend,place
place couple time time review ambience food chicken fry place people place time photo place sunset time music weekend,place
sitting food.we man chicken soup prwan pork .service,service
lunch place evening ambiance afternoon room music chatter guest mood spoiler service food reason place,place
kind food carte dish disappointment dish day mark visit,food
place food lobster prawn wine crab kind wine menu item stock item 10/10 music lightening party dinner 8/10 food instruction waiter cake birthday celebration pastry gesture 8/10,place
ambience place dinner food delicacy,place
waste money place waiter nd starter zero star one experience,place
3/5 review 5/5 staff 1/5 gold experience 1/5 table seat preference table 2 seat preference seating issue lady seating detail booking seating case guy page discussion floor view seating booking let food olace vibe area lot space table section shack structure beach drink one liit lime mint juice food beef fry tenderness meat spice level presentation price size menu speciality lobster prawn butter tiger prawn presentation taste class spice balance gold experience woukd zomato gold dish beef case two guy bill guy dish size menu gold guy bill gold unawareness staff one dish take potion size value money olace sea food lover goan ambience peace victory hand,place
trip place thing place food variety drink dessert fish price food quantity bit food,food
place pizza wich music service thank lunch hand hand hand hand hand hand hand hand hand hand thumb thumb,service
place one evening dinner space ambience ring road space customer service food sea food space fish food 4.5 service 4 4,place
